Sure, here's the proposed content for the file `/my-streamlit-app/my-streamlit-app/data/quotes.csv`:

"quote","author","tags"
"The greatest glory in living lies not in never falling, but in rising every time we fall.","Nelson Mandela","inspiration, perseverance"
"The way to get started is to quit talking and begin doing.","Walt Disney","motivation, action"
"Life is what happens when you're busy making other plans.","John Lennon","life, perspective"
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","Albert Schweitzer","success, happiness"
"Believe you can and you're halfway there.","Theodore Roosevelt","belief, motivation"
"Act as if what you do makes a difference. It does.","William James","action, impact"
"Success usually comes to those who are too busy to be looking for it.","Henry David Thoreau","success, diligence"
"Don't watch the clock; do what it does. Keep going.","Sam Levenson","time, perseverance"
"You are never too old to set another goal or to dream a new dream.","C.S. Lewis","dreams, goals"
"Keep your face always toward the sunshineâ€”and shadows will fall behind you.","Walt Whitman","positivity, outlook"